small,medium,small,small,Iris-setosa
large,small,large,large,Iris-virginica
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
medium,small,medium,medium,Iris-versicolor
large,medium,medium,medium,Iris-versicolor
medium,large,small,small,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
small,medium,small,small,Iris-setosa
large,medium,medium,medium,Iris-versicolor
small,large,small,small,Iris-setosa
large,large,large,large,Iris-virginica
small,small,medium,medium,Iris-versicolor
large,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
small,small,medium,medium,Iris-versicolor
small,medium,small,small,Iris-setosa
medium,small,medium,medium,Iris-versicolor
large,small,large,medium,Iris-virginica
medium,small,large,large,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
small,large,small,small,Iris-setosa
large,medium,large,large,Iris-virginica
small,medium,small,small,Iris-setosa
large,medium,medium,medium,Iris-versicolor
large,large,large,large,Iris-virginica
large,medium,large,large,Iris-versicolor
large,small,large,large,Iris-virginica
medium,small,medium,medium,Iris-versicolor
large,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
medium,small,medium,medium,Iris-versicolor
medium,large,large,large,Iris-virginica
large,small,large,large,Iris-virginica
medium,medium,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
large,small,medium,medium,Iris-versicolor
large,large,large,large,Iris-virginica
small,small,small,small,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
large,large,large,large,Iris-virginica
large,small,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,large,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
